api_name,AmorphousURI,TidyURI,NonStandardURI,StandarURI,CRUDyURI,VerblessURI,UnversionedURI,VersionedURI,PluralisedNodes,SingularNodes,NonDescriptiveURI,DescriptiveURI,ContextlessResource,ContextualResouce,NonHierarchicalNodes,HierarchicalNodes,LessCohisiveDoc,CohisiveDoc,InconsistantDoc,ConsistantDoc
Adobe Audience Manager,16,49,0,65,4,61,65,0,10,55,1,64,0,65,2,63,0,65,8,57
Apple App Store Connect,0,32,0,32,0,32,32,0,0,32,1,31,0,32,0,32,4,28,0,32
BroadCom,8,32,1,39,4,36,40,0,9,31,14,26,27,13,0,40,20,20,3,37
Cisco Flare,21,4,0,25,0,25,25,0,0,25,0,25,0,25,0,25,0,25,0,25
ClearBlade,4,41,0,45,0,45,36,9,17,28,1,44,0,45,0,45,10,35,3,42
Dropbox,29,3,0,32,17,15,28,4,31,1,0,32,1,31,2,30,0,32,20,12
Google Nest,35,0,0,35,0,35,35,0,2,33,1,34,0,35,28,7,0,35,0,35
GroupWise,0,56,0,56,0,56,56,0,3,53,12,44,3,53,3,53,8,48,3,53
IBM Cloud Pak System,22,12,14,20,0,34,34,0,4,30,12,22,0,34,2,32,3,31,2,32
IBM Watson IoT,0,57,0,57,3,54,57,0,11,46,7,50,2,55,12,45,2,55,3,54
Instagram,5,16,0,21,0,21,21,0,3,18,0,21,0,21,0,21,2,19,0,21
Linkedin,2,11,2,11,0,13,13,0,0,13,2,11,2,11,0,13,2,11,0,13
Microsoft Power BI,2,32,1,33,0,34,34,0,4,30,4,30,1,33,1,33,0,34,1,33
Node-RED,0,15,0,15,0,15,15,0,3,12,1,14,0,15,0,15,0,15,0,15
Oracle Cloud Marketplace Publisher,0,43,0,43,0,43,37,6,6,37,10,33,1,42,0,43,1,42,2,41
QuickBooks Online,21,0,21,0,0,21,21,0,12,9,3,18,0,21,0,21,4,17,7,14
Samsung ARTIK Cloud,56,24,60,20,0,80,80,0,10,70,9,71,1,79,4,76,3,77,6,74
Shopify,71,0,1,70,1,70,71,0,8,63,2,69,1,70,8,63,0,71,1,70
SurveyJS,1,23,0,24,5,19,24,0,2,22,0,24,0,24,3,21,0,24,1,23
Uber,4,11,0,15,0,15,15,0,2,13,0,15,1,14,3,12,1,14,1,14
WM3 Multishop,43,11,1,53,2,52,54,0,3,51,0,54,0,54,7,47,2,52,3,51
